"train/global_step","vit-large-patch16-384-wot - _step","vit-large-patch16-384-wot - _step__MIN","vit-large-patch16-384-wot - _step__MAX","vit-large-patch16-384-wot - eval/accuracy","vit-large-patch16-384-wot - eval/accuracy__MIN","vit-large-patch16-384-wot - eval/accuracy__MAX","vit-large-patch16-384 - _step","vit-large-patch16-384 - _step__MIN","vit-large-patch16-384 - _step__MAX","vit-large-patch16-384 - eval/accuracy","vit-large-patch16-384 - eval/accuracy__MIN","vit-large-patch16-384 - eval/accuracy__MAX"
"4200","461","461","461","0.8897196054458618","0.8897196054458618","0.8897196054458618","461","461","461","0.9018691778182983","0.9018691778182983","0.9018691778182983"
"4300","472","472","472","0.8897196054458618","0.8897196054458618","0.8897196054458618","472","472","472","0.8934579491615295","0.8934579491615295","0.8934579491615295"
"4400","483","483","483","0.895327091217041","0.895327091217041","0.895327091217041","483","483","483","0.9037383198738098","0.9037383198738098","0.9037383198738098"
"4500","494","494","494","0.8934579491615295","0.8934579491615295","0.8934579491615295","494","494","494","0.8990654349327087","0.8990654349327087","0.8990654349327087"
"4600","505","505","505","0.8943925499916077","0.8943925499916077","0.8943925499916077","505","505","505","0.8962616920471191","0.8962616920471191","0.8962616920471191"
"4700","516","516","516","0.8915888071060181","0.8915888071060181","0.8915888071060181","516","516","516","0.8869158625602722","0.8869158625602722","0.8869158625602722"
"4800","527","527","527","0.8878504633903503","0.8878504633903503","0.8878504633903503","527","527","527","0.8934579491615295","0.8934579491615295","0.8934579491615295"
"4900","538","538","538","0.8943925499916077","0.8943925499916077","0.8943925499916077","538","538","538","0.9056074619293213","0.9056074619293213","0.9056074619293213"
"5000","549","549","549","0.8897196054458618","0.8897196054458618","0.8897196054458618","549","549","549","0.8925233483314514","0.8925233483314514","0.8925233483314514"
"5100","560","560","560","0.8906542062759399","0.8906542062759399","0.8906542062759399","560","560","560","0.8943925499916077","0.8943925499916077","0.8943925499916077"
"5200","571","571","571","0.8906542062759399","0.8906542062759399","0.8906542062759399","571","571","571","0.8943925499916077","0.8943925499916077","0.8943925499916077"
"5300","582","582","582","0.8925233483314514","0.8925233483314514","0.8925233483314514","582","582","582","0.9009345769882202","0.9009345769882202","0.9009345769882202"
"5400","593","593","593","0.8915888071060181","0.8915888071060181","0.8915888071060181","593","593","593","0.9018691778182983","0.9018691778182983","0.9018691778182983"
"5500","604","604","604","0.8999999761581421","0.8999999761581421","0.8999999761581421","604","604","604","0.9056074619293213","0.9056074619293213","0.9056074619293213"
"5600","615","615","615","0.8999999761581421","0.8999999761581421","0.8999999761581421","615","615","615","0.895327091217041","0.895327091217041","0.895327091217041"
"5700","626","626","626","0.8906542062759399","0.8906542062759399","0.8906542062759399","626","626","626","0.8934579491615295","0.8934579491615295","0.8934579491615295"
"5800","637","637","637","0.8906542062759399","0.8906542062759399","0.8906542062759399","637","637","637","0.8934579491615295","0.8934579491615295","0.8934579491615295"
"5900","648","648","648","0.8943925499916077","0.8943925499916077","0.8943925499916077","648","648","648","0.8971962332725525","0.8971962332725525","0.8971962332725525"
"6000","659","659","659","0.8934579491615295","0.8934579491615295","0.8934579491615295","659","659","659","0.8915888071060181","0.8915888071060181","0.8915888071060181"
"6100","670","670","670","0.9009345769882202","0.9009345769882202","0.9009345769882202","670","670","670","0.8971962332725525","0.8971962332725525","0.8971962332725525"
"6200","681","681","681","0.8897196054458618","0.8897196054458618","0.8897196054458618","681","681","681","0.8962616920471191","0.8962616920471191","0.8962616920471191"
"6300","692","692","692","0.8962616920471191","0.8962616920471191","0.8962616920471191","692","692","692","0.895327091217041","0.895327091217041","0.895327091217041"
"6400","703","703","703","0.8934579491615295","0.8934579491615295","0.8934579491615295","703","703","703","0.8990654349327087","0.8990654349327087","0.8990654349327087"
"6500","714","714","714","0.8915888071060181","0.8915888071060181","0.8915888071060181","714","714","714","0.8999999761581421","0.8999999761581421","0.8999999761581421"
"6600","725","725","725","0.8878504633903503","0.8878504633903503","0.8878504633903503","725","725","725","0.9046729207038879","0.9046729207038879","0.9046729207038879"
"6700","736","736","736","0.8887850642204285","0.8887850642204285","0.8887850642204285","736","736","736","0.8981308341026306","0.8981308341026306","0.8981308341026306"
"6800","747","747","747","0.8906542062759399","0.8906542062759399","0.8906542062759399","747","747","747","0.8934579491615295","0.8934579491615295","0.8934579491615295"
"6900","758","758","758","0.8934579491615295","0.8934579491615295","0.8934579491615295","758","758","758","0.9046729207038879","0.9046729207038879","0.9046729207038879"
"7000","769","769","769","0.8915888071060181","0.8915888071060181","0.8915888071060181","769","769","769","0.8981308341026306","0.8981308341026306","0.8981308341026306"
"7100","780","780","780","0.8897196054458618","0.8897196054458618","0.8897196054458618","780","780","780","0.8971962332725525","0.8971962332725525","0.8971962332725525"
"7200","791","791","791","0.8934579491615295","0.8934579491615295","0.8934579491615295","791","791","791","0.8999999761581421","0.8999999761581421","0.8999999761581421"
"7300","802","802","802","0.8897196054458618","0.8897196054458618","0.8897196054458618","802","802","802","0.8971962332725525","0.8971962332725525","0.8971962332725525"
"7400","813","813","813","0.8925233483314514","0.8925233483314514","0.8925233483314514","813","813","813","0.8981308341026306","0.8981308341026306","0.8981308341026306"
"7500","824","824","824","0.8915888071060181","0.8915888071060181","0.8915888071060181","824","824","824","0.9018691778182983","0.9018691778182983","0.9018691778182983"
"7600","835","835","835","0.8897196054458618","0.8897196054458618","0.8897196054458618","835","835","835","0.8962616920471191","0.8962616920471191","0.8962616920471191"
"7700","846","846","846","0.8925233483314514","0.8925233483314514","0.8925233483314514","846","846","846","0.8934579491615295","0.8934579491615295","0.8934579491615295"
"7800","857","857","857","0.8925233483314514","0.8925233483314514","0.8925233483314514","857","857","857","0.8999999761581421","0.8999999761581421","0.8999999761581421"
"7900","868","868","868","0.8915888071060181","0.8915888071060181","0.8915888071060181","868","868","868","0.8999999761581421","0.8999999761581421","0.8999999761581421"
"8000","879","879","879","0.8897196054458618","0.8897196054458618","0.8897196054458618","879","879","879","0.9018691778182983","0.9018691778182983","0.9018691778182983"
"8100","890","890","890","0.8897196054458618","0.8897196054458618","0.8897196054458618","890","890","890","0.9009345769882202","0.9009345769882202","0.9009345769882202"
"8200","901","901","901","0.8897196054458618","0.8897196054458618","0.8897196054458618","901","901","901","0.9074766635894775","0.9074766635894775","0.9074766635894775"
"8300","912","912","912","0.8887850642204285","0.8887850642204285","0.8887850642204285","912","912","912","0.9018691778182983","0.9018691778182983","0.9018691778182983"
"8400","923","923","923","0.8915888071060181","0.8915888071060181","0.8915888071060181","923","923","923","0.9009345769882202","0.9009345769882202","0.9009345769882202"
"8500","934","934","934","0.8878504633903503","0.8878504633903503","0.8878504633903503","934","934","934","0.8962616920471191","0.8962616920471191","0.8962616920471191"
"8600","945","945","945","0.8915888071060181","0.8915888071060181","0.8915888071060181","945","945","945","0.8990654349327087","0.8990654349327087","0.8990654349327087"
"8700","956","956","956","0.8906542062759399","0.8906542062759399","0.8906542062759399","956","956","956","0.8943925499916077","0.8943925499916077","0.8943925499916077"
"8800","967","967","967","0.8887850642204285","0.8887850642204285","0.8887850642204285","967","967","967","0.9037383198738098","0.9037383198738098","0.9037383198738098"
"8900","978","978","978","0.8925233483314514","0.8925233483314514","0.8925233483314514","978","978","978","0.8999999761581421","0.8999999761581421","0.8999999761581421"
"9000","989","989","989","0.8925233483314514","0.8925233483314514","0.8925233483314514","989","989","989","0.9046729207038879","0.9046729207038879","0.9046729207038879"
"9100","1000","1000","1000","0.8915888071060181","0.8915888071060181","0.8915888071060181","1000","1000","1000","0.9046729207038879","0.9046729207038879","0.9046729207038879"
"9200","1011","1011","1011","0.8897196054458618","0.8897196054458618","0.8897196054458618","1011","1011","1011","0.8971962332725525","0.8971962332725525","0.8971962332725525"
"9300","1022","1022","1022","0.8897196054458618","0.8897196054458618","0.8897196054458618","1022","1022","1022","0.8981308341026306","0.8981308341026306","0.8981308341026306"
"9400","1033","1033","1033","0.8906542062759399","0.8906542062759399","0.8906542062759399","1033","1033","1033","0.8990654349327087","0.8990654349327087","0.8990654349327087"
"9500","1044","1044","1044","0.8897196054458618","0.8897196054458618","0.8897196054458618","1044","1044","1044","0.8915888071060181","0.8915888071060181","0.8915888071060181"
"9600","1055","1055","1055","0.8897196054458618","0.8897196054458618","0.8897196054458618","1055","1055","1055","0.9037383198738098","0.9037383198738098","0.9037383198738098"
"9700","1066","1066","1066","0.8897196054458618","0.8897196054458618","0.8897196054458618","1066","1066","1066","0.9046729207038879","0.9046729207038879","0.9046729207038879"
"9800","1077","1077","1077","0.8897196054458618","0.8897196054458618","0.8897196054458618","1077","1077","1077","0.8971962332725525","0.8971962332725525","0.8971962332725525"
"9900","1088","1088","1088","0.8897196054458618","0.8897196054458618","0.8897196054458618","1088","1088","1088","0.8943925499916077","0.8943925499916077","0.8943925499916077"
"10000","1099","1099","1099","0.8878504633903503","0.8878504633903503","0.8878504633903503","1099","1099","1099","0.8962616920471191","0.8962616920471191","0.8962616920471191"
"10100","1110","1110","1110","0.8878504633903503","0.8878504633903503","0.8878504633903503","1110","1110","1110","0.8887850642204285","0.8887850642204285","0.8887850642204285"
"10200","1121","1121","1121","0.8869158625602722","0.8869158625602722","0.8869158625602722","1121","1121","1121","0.8999999761581421","0.8999999761581421","0.8999999761581421"
"10300","1132","1132","1132","0.8878504633903503","0.8878504633903503","0.8878504633903503","1132","1132","1132","0.8990654349327087","0.8990654349327087","0.8990654349327087"
"10400","1143","1143","1143","0.8887850642204285","0.8887850642204285","0.8887850642204285","1143","1143","1143","0.8925233483314514","0.8925233483314514","0.8925233483314514"
"10500","1154","1154","1154","0.8878504633903503","0.8878504633903503","0.8878504633903503","1154","1154","1154","0.8971962332725525","0.8971962332725525","0.8971962332725525"
"10600","1165","1165","1165","0.8878504633903503","0.8878504633903503","0.8878504633903503","1165","1165","1165","0.9037383198738098","0.9037383198738098","0.9037383198738098"
"10700","1176","1176","1176","0.8878504633903503","0.8878504633903503","0.8878504633903503","1176","1176","1176","0.8999999761581421","0.8999999761581421","0.8999999761581421"
"10800","1187","1187","1187","0.8897196054458618","0.8897196054458618","0.8897196054458618","1187","1187","1187","0.8925233483314514","0.8925233483314514","0.8925233483314514"
"10900","1198","1198","1198","0.8915888071060181","0.8915888071060181","0.8915888071060181","1198","1198","1198","0.8971962332725525","0.8971962332725525","0.8971962332725525"
"11000","1209","1209","1209","0.8897196054458618","0.8897196054458618","0.8897196054458618","1209","1209","1209","0.9037383198738098","0.9037383198738098","0.9037383198738098"
"11100","1220","1220","1220","0.8906542062759399","0.8906542062759399","0.8906542062759399","1220","1220","1220","0.9046729207038879","0.9046729207038879","0.9046729207038879"
"11200","1231","1231","1231","0.8869158625602722","0.8869158625602722","0.8869158625602722","1231","1231","1231","0.9037383198738098","0.9037383198738098","0.9037383198738098"
"11300","1242","1242","1242","0.8859813213348389","0.8859813213348389","0.8859813213348389","1242","1242","1242","0.895327091217041","0.895327091217041","0.895327091217041"
"11400","1253","1253","1253","0.8841121792793274","0.8841121792793274","0.8841121792793274","1253","1253","1253","0.8971962332725525","0.8971962332725525","0.8971962332725525"
"11500","1264","1264","1264","0.8869158625602722","0.8869158625602722","0.8869158625602722","1264","1264","1264","0.895327091217041","0.895327091217041","0.895327091217041"
"11600","1275","1275","1275","0.8878504633903503","0.8878504633903503","0.8878504633903503","1275","1275","1275","0.9009345769882202","0.9009345769882202","0.9009345769882202"
"11700","1286","1286","1286","0.8878504633903503","0.8878504633903503","0.8878504633903503","1286","1286","1286","0.8999999761581421","0.8999999761581421","0.8999999761581421"
"11800","1297","1297","1297","0.8878504633903503","0.8878504633903503","0.8878504633903503","1297","1297","1297","0.8981308341026306","0.8981308341026306","0.8981308341026306"
"11900","1308","1308","1308","0.8869158625602722","0.8869158625602722","0.8869158625602722","1308","1308","1308","0.9028037190437317","0.9028037190437317","0.9028037190437317"
"12000","1319","1319","1319","0.8887850642204285","0.8887850642204285","0.8887850642204285","1319","1319","1319","0.8971962332725525","0.8971962332725525","0.8971962332725525"
"12100","1330","1330","1330","0.8822429776191711","0.8822429776191711","0.8822429776191711","1330","1330","1330","0.8981308341026306","0.8981308341026306","0.8981308341026306"
"12200","1341","1341","1341","0.8869158625602722","0.8869158625602722","0.8869158625602722","1341","1341","1341","0.8934579491615295","0.8934579491615295","0.8934579491615295"
"12300","1352","1352","1352","0.8850467205047607","0.8850467205047607","0.8850467205047607","1352","1352","1352","0.8971962332725525","0.8971962332725525","0.8971962332725525"
"12400","1363","1363","1363","0.8859813213348389","0.8859813213348389","0.8859813213348389","1363","1363","1363","0.8943925499916077","0.8943925499916077","0.8943925499916077"
"12500","1374","1374","1374","0.8850467205047607","0.8850467205047607","0.8850467205047607","1374","1374","1374","0.8981308341026306","0.8981308341026306","0.8981308341026306"
"12600","1385","1385","1385","0.8850467205047607","0.8850467205047607","0.8850467205047607","1385","1385","1385","0.8962616920471191","0.8962616920471191","0.8962616920471191"
"12700","1396","1396","1396","0.8869158625602722","0.8869158625602722","0.8869158625602722","1396","1396","1396","0.8943925499916077","0.8943925499916077","0.8943925499916077"
"12800","1407","1407","1407","0.8869158625602722","0.8869158625602722","0.8869158625602722","1407","1407","1407","0.8906542062759399","0.8906542062759399","0.8906542062759399"
"12900","1418","1418","1418","0.8869158625602722","0.8869158625602722","0.8869158625602722","1418","1418","1418","0.8906542062759399","0.8906542062759399","0.8906542062759399"
"13000","1429","1429","1429","0.8869158625602722","0.8869158625602722","0.8869158625602722","1429","1429","1429","0.8943925499916077","0.8943925499916077","0.8943925499916077"
"13100","1440","1440","1440","0.8869158625602722","0.8869158625602722","0.8869158625602722","1440","1440","1440","0.8943925499916077","0.8943925499916077","0.8943925499916077"
"13200","1451","1451","1451","0.8859813213348389","0.8859813213348389","0.8859813213348389","1451","1451","1451","0.895327091217041","0.895327091217041","0.895327091217041"
"13300","1462","1462","1462","0.8869158625602722","0.8869158625602722","0.8869158625602722","1462","1462","1462","0.895327091217041","0.895327091217041","0.895327091217041"
"13400","1473","1473","1473","0.8869158625602722","0.8869158625602722","0.8869158625602722","1473","1473","1473","0.8915888071060181","0.8915888071060181","0.8915888071060181"
"13500","1484","1484","1484","0.8887850642204285","0.8887850642204285","0.8887850642204285","1484","1484","1484","0.8943925499916077","0.8943925499916077","0.8943925499916077"
"13600","1495","1495","1495","0.8887850642204285","0.8887850642204285","0.8887850642204285","1495","1495","1495","0.8934579491615295","0.8934579491615295","0.8934579491615295"
"13700","1506","1506","1506","0.8887850642204285","0.8887850642204285","0.8887850642204285","1506","1506","1506","0.8906542062759399","0.8906542062759399","0.8906542062759399"
"13800","1517","1517","1517","0.8841121792793274","0.8841121792793274","0.8841121792793274","1517","1517","1517","0.8897196054458618","0.8897196054458618","0.8897196054458618"
"13900","1528","1528","1528","0.8841121792793274","0.8841121792793274","0.8841121792793274","1528","1528","1528","0.8962616920471191","0.8962616920471191","0.8962616920471191"
"14000","1539","1539","1539","0.8859813213348389","0.8859813213348389","0.8859813213348389","1539","1539","1539","0.8943925499916077","0.8943925499916077","0.8943925499916077"
"14100","1550","1550","1550","0.8859813213348389","0.8859813213348389","0.8859813213348389","1550","1550","1550","0.895327091217041","0.895327091217041","0.895327091217041"
"14200","1561","1561","1561","0.8850467205047607","0.8850467205047607","0.8850467205047607","1561","1561","1561","0.8934579491615295","0.8934579491615295","0.8934579491615295"
"14300","1572","1572","1572","0.8841121792793274","0.8841121792793274","0.8841121792793274","1572","1572","1572","0.8981308341026306","0.8981308341026306","0.8981308341026306"
"14400","1583","1583","1583","0.8841121792793274","0.8841121792793274","0.8841121792793274","1583","1583","1583","0.8897196054458618","0.8897196054458618","0.8897196054458618"
"14500","1594","1594","1594","0.8850467205047607","0.8850467205047607","0.8850467205047607","1594","1594","1594","0.8971962332725525","0.8971962332725525","0.8971962332725525"
"14600","1605","1605","1605","0.8859813213348389","0.8859813213348389","0.8859813213348389","1605","1605","1605","0.8915888071060181","0.8915888071060181","0.8915888071060181"
"14700","1616","1616","1616","0.8859813213348389","0.8859813213348389","0.8859813213348389","1616","1616","1616","0.8962616920471191","0.8962616920471191","0.8962616920471191"
"14800","1627","1627","1627","0.8859813213348389","0.8859813213348389","0.8859813213348389","1627","1627","1627","0.8906542062759399","0.8906542062759399","0.8906542062759399"
"14900","1638","1638","1638","0.8859813213348389","0.8859813213348389","0.8859813213348389","1638","1638","1638","0.8971962332725525","0.8971962332725525","0.8971962332725525"
"15000","1649","1649","1649","0.8859813213348389","0.8859813213348389","0.8859813213348389","1649","1649","1649","0.8981308341026306","0.8981308341026306","0.8981308341026306"
"15100","1660","1660","1660","0.8859813213348389","0.8859813213348389","0.8859813213348389","1660","1660","1660","0.9009345769882202","0.9009345769882202","0.9009345769882202"
"15200","1671","1671","1671","0.8878504633903503","0.8878504633903503","0.8878504633903503","1671","1671","1671","0.8971962332725525","0.8971962332725525","0.8971962332725525"
"15300","1682","1682","1682","0.8878504633903503","0.8878504633903503","0.8878504633903503","1682","1682","1682","0.895327091217041","0.895327091217041","0.895327091217041"
"15400","1693","1693","1693","0.8878504633903503","0.8878504633903503","0.8878504633903503","1693","1693","1693","0.8934579491615295","0.8934579491615295","0.8934579491615295"
"15500","1704","1704","1704","0.8887850642204285","0.8887850642204285","0.8887850642204285","","","","","",""
"15600","1715","1715","1715","0.8878504633903503","0.8878504633903503","0.8878504633903503","","","","","",""
"15700","1726","1726","1726","0.8859813213348389","0.8859813213348389","0.8859813213348389","","","","","",""
"15800","1737","1737","1737","0.8878504633903503","0.8878504633903503","0.8878504633903503","","","","","",""
"15900","1748","1748","1748","0.8878504633903503","0.8878504633903503","0.8878504633903503","","","","","",""
"16000","1759","1759","1759","0.8878504633903503","0.8878504633903503","0.8878504633903503","","","","","",""
"16100","1770","1770","1770","0.8878504633903503","0.8878504633903503","0.8878504633903503","","","","","",""
"16200","1781","1781","1781","0.8869158625602722","0.8869158625602722","0.8869158625602722","","","","","",""
"16300","1792","1792","1792","0.8878504633903503","0.8878504633903503","0.8878504633903503","","","","","",""
"16400","1803","1803","1803","0.8887850642204285","0.8887850642204285","0.8887850642204285","","","","","",""
"16500","1814","1814","1814","0.8887850642204285","0.8887850642204285","0.8887850642204285","","","","","",""
"16600","1825","1825","1825","0.8887850642204285","0.8887850642204285","0.8887850642204285","","","","","",""
"16700","1836","1836","1836","0.8869158625602722","0.8869158625602722","0.8869158625602722","","","","","",""
"16800","1847","1847","1847","0.8869158625602722","0.8869158625602722","0.8869158625602722","","","","","",""
"16900","1858","1858","1858","0.8878504633903503","0.8878504633903503","0.8878504633903503","","","","","",""
"17000","1869","1869","1869","0.8878504633903503","0.8878504633903503","0.8878504633903503","","","","","",""
"17100","1880","1880","1880","0.8878504633903503","0.8878504633903503","0.8878504633903503","","","","","",""
"17200","1891","1891","1891","0.8878504633903503","0.8878504633903503","0.8878504633903503","","","","","",""
"17300","1902","1902","1902","0.8859813213348389","0.8859813213348389","0.8859813213348389","","","","","",""
"17400","1913","1913","1913","0.8869158625602722","0.8869158625602722","0.8869158625602722","","","","","",""
"17500","1924","1924","1924","0.8869158625602722","0.8869158625602722","0.8869158625602722","","","","","",""
"17600","1935","1935","1935","0.8887850642204285","0.8887850642204285","0.8887850642204285","","","","","",""
"17700","1946","1946","1946","0.8878504633903503","0.8878504633903503","0.8878504633903503","","","","","",""
"17800","1957","1957","1957","0.8869158625602722","0.8869158625602722","0.8869158625602722","","","","","",""
"17900","1968","1968","1968","0.8878504633903503","0.8878504633903503","0.8878504633903503","","","","","",""
"18000","1979","1979","1979","0.8869158625602722","0.8869158625602722","0.8869158625602722","","","","","",""
