"train/global_step","vit-large-patch16-384-wot - _step","vit-large-patch16-384-wot - _step__MIN","vit-large-patch16-384-wot - _step__MAX","vit-large-patch16-384-wot - eval/loss","vit-large-patch16-384-wot - eval/loss__MIN","vit-large-patch16-384-wot - eval/loss__MAX","vit-large-patch16-384 - _step","vit-large-patch16-384 - _step__MIN","vit-large-patch16-384 - _step__MAX","vit-large-patch16-384 - eval/loss","vit-large-patch16-384 - eval/loss__MIN","vit-large-patch16-384 - eval/loss__MAX"
"100","10","10","10","1.0961449146270752","1.0961449146270752","1.0961449146270752","10","10","10","1.1843019723892212","1.1843019723892212","1.1843019723892212"
"200","21","21","21","0.7290815114974976","0.7290815114974976","0.7290815114974976","21","21","21","0.8610835075378418","0.8610835075378418","0.8610835075378418"
"300","32","32","32","0.45305198431015015","0.45305198431015015","0.45305198431015015","32","32","32","0.5329804420471191","0.5329804420471191","0.5329804420471191"
"400","43","43","43","0.3783622980117798","0.3783622980117798","0.3783622980117798","43","43","43","0.4387558400630951","0.4387558400630951","0.4387558400630951"
"500","54","54","54","0.39582359790802","0.39582359790802","0.39582359790802","54","54","54","0.4059068262577057","0.4059068262577057","0.4059068262577057"
"600","65","65","65","0.33791983127593994","0.33791983127593994","0.33791983127593994","65","65","65","0.3298663794994354","0.3298663794994354","0.3298663794994354"
"700","76","76","76","0.34705206751823425","0.34705206751823425","0.34705206751823425","76","76","76","0.3535740375518799","0.3535740375518799","0.3535740375518799"
"800","87","87","87","0.32228386402130127","0.32228386402130127","0.32228386402130127","87","87","87","0.337237149477005","0.337237149477005","0.337237149477005"
"900","98","98","98","0.4132976830005646","0.4132976830005646","0.4132976830005646","98","98","98","0.40362149477005005","0.40362149477005005","0.40362149477005005"
"1000","109","109","109","0.3500145971775055","0.3500145971775055","0.3500145971775055","109","109","109","0.33574217557907104","0.33574217557907104","0.33574217557907104"
"1100","120","120","120","0.35420742630958557","0.35420742630958557","0.35420742630958557","120","120","120","0.34768179059028625","0.34768179059028625","0.34768179059028625"
"1200","131","131","131","0.32923662662506104","0.32923662662506104","0.32923662662506104","131","131","131","0.34105944633483887","0.34105944633483887","0.34105944633483887"
"1300","142","142","142","0.33857694268226624","0.33857694268226624","0.33857694268226624","142","142","142","0.3520115315914154","0.3520115315914154","0.3520115315914154"
"1400","153","153","153","0.3259427845478058","0.3259427845478058","0.3259427845478058","153","153","153","0.3218677043914795","0.3218677043914795","0.3218677043914795"
"1500","164","164","164","0.3098696768283844","0.3098696768283844","0.3098696768283844","164","164","164","0.30691078305244446","0.30691078305244446","0.30691078305244446"
"1600","175","175","175","0.3167649209499359","0.3167649209499359","0.3167649209499359","175","175","175","0.302223265171051","0.302223265171051","0.302223265171051"
"1700","186","186","186","0.36377501487731934","0.36377501487731934","0.36377501487731934","186","186","186","0.339347243309021","0.339347243309021","0.339347243309021"
"1800","197","197","197","0.3575441837310791","0.3575441837310791","0.3575441837310791","197","197","197","0.3188595175743103","0.3188595175743103","0.3188595175743103"
"1900","208","208","208","0.3497700095176697","0.3497700095176697","0.3497700095176697","208","208","208","0.3018837571144104","0.3018837571144104","0.3018837571144104"
"2000","219","219","219","0.3193049132823944","0.3193049132823944","0.3193049132823944","219","219","219","0.299631267786026","0.299631267786026","0.299631267786026"
"2100","230","230","230","0.33894842863082886","0.33894842863082886","0.33894842863082886","230","230","230","0.31485652923583984","0.31485652923583984","0.31485652923583984"
"2200","241","241","241","0.2998959422111511","0.2998959422111511","0.2998959422111511","241","241","241","0.2947685420513153","0.2947685420513153","0.2947685420513153"
"2300","252","252","252","0.30657127499580383","0.30657127499580383","0.30657127499580383","252","252","252","0.3127719759941101","0.3127719759941101","0.3127719759941101"
"2400","263","263","263","0.29905810952186584","0.29905810952186584","0.29905810952186584","263","263","263","0.3169976770877838","0.3169976770877838","0.3169976770877838"
"2500","274","274","274","0.37076154351234436","0.37076154351234436","0.37076154351234436","274","274","274","0.35035595297813416","0.35035595297813416","0.35035595297813416"
"2600","285","285","285","0.32351645827293396","0.32351645827293396","0.32351645827293396","285","285","285","0.31425416469573975","0.31425416469573975","0.31425416469573975"
"2700","296","296","296","0.36499524116516113","0.36499524116516113","0.36499524116516113","296","296","296","0.31825897097587585","0.31825897097587585","0.31825897097587585"
"2800","307","307","307","0.3757598102092743","0.3757598102092743","0.3757598102092743","307","307","307","0.30661872029304504","0.30661872029304504","0.30661872029304504"
"2900","318","318","318","0.3597952723503113","0.3597952723503113","0.3597952723503113","318","318","318","0.31708163022994995","0.31708163022994995","0.31708163022994995"
"3000","329","329","329","0.364164263010025","0.364164263010025","0.364164263010025","329","329","329","0.3055764436721802","0.3055764436721802","0.3055764436721802"
"3100","340","340","340","0.36467400193214417","0.36467400193214417","0.36467400193214417","340","340","340","0.3353898823261261","0.3353898823261261","0.3353898823261261"
"3200","351","351","351","0.3733229637145996","0.3733229637145996","0.3733229637145996","351","351","351","0.29363682866096497","0.29363682866096497","0.29363682866096497"
"3300","362","362","362","0.3880448639392853","0.3880448639392853","0.3880448639392853","362","362","362","0.3212069272994995","0.3212069272994995","0.3212069272994995"
"3400","373","373","373","0.39520707726478577","0.39520707726478577","0.39520707726478577","373","373","373","0.3130987286567688","0.3130987286567688","0.3130987286567688"
"3500","384","384","384","0.3725084066390991","0.3725084066390991","0.3725084066390991","384","384","384","0.30930382013320923","0.30930382013320923","0.30930382013320923"
"3600","395","395","395","0.3698529601097107","0.3698529601097107","0.3698529601097107","395","395","395","0.29594042897224426","0.29594042897224426","0.29594042897224426"
"3700","406","406","406","0.41651394963264465","0.41651394963264465","0.41651394963264465","406","406","406","0.30402672290802","0.30402672290802","0.30402672290802"
"3800","417","417","417","0.3886595666408539","0.3886595666408539","0.3886595666408539","417","417","417","0.29599884152412415","0.29599884152412415","0.29599884152412415"
"3900","428","428","428","0.4054560959339142","0.4054560959339142","0.4054560959339142","428","428","428","0.31397122144699097","0.31397122144699097","0.31397122144699097"
"4000","439","439","439","0.42373618483543396","0.42373618483543396","0.42373618483543396","439","439","439","0.30845868587493896","0.30845868587493896","0.30845868587493896"
"4100","450","450","450","0.4500100314617157","0.4500100314617157","0.4500100314617157","450","450","450","0.3116493821144104","0.3116493821144104","0.3116493821144104"
"4200","461","461","461","0.47927337884902954","0.47927337884902954","0.47927337884902954","461","461","461","0.3047313094139099","0.3047313094139099","0.3047313094139099"
"4300","472","472","472","0.47267210483551025","0.47267210483551025","0.47267210483551025","472","472","472","0.3367297053337097","0.3367297053337097","0.3367297053337097"
"4400","483","483","483","0.4564531743526459","0.4564531743526459","0.4564531743526459","483","483","483","0.3279716670513153","0.3279716670513153","0.3279716670513153"
"4500","494","494","494","0.4598013460636139","0.4598013460636139","0.4598013460636139","494","494","494","0.3108535408973694","0.3108535408973694","0.3108535408973694"
"4600","505","505","505","0.4582570791244507","0.4582570791244507","0.4582570791244507","505","505","505","0.3096451461315155","0.3096451461315155","0.3096451461315155"
"4700","516","516","516","0.49317479133605957","0.49317479133605957","0.49317479133605957","516","516","516","0.33740508556365967","0.33740508556365967","0.33740508556365967"
"4800","527","527","527","0.48919129371643066","0.48919129371643066","0.48919129371643066","527","527","527","0.3403073847293854","0.3403073847293854","0.3403073847293854"
"4900","538","538","538","0.5016781687736511","0.5016781687736511","0.5016781687736511","538","538","538","0.2934688925743103","0.2934688925743103","0.2934688925743103"
"5000","549","549","549","0.5040128231048584","0.5040128231048584","0.5040128231048584","549","549","549","0.30882373452186584","0.30882373452186584","0.30882373452186584"
"5100","560","560","560","0.49272894859313965","0.49272894859313965","0.49272894859313965","560","560","560","0.31637340784072876","0.31637340784072876","0.31637340784072876"
"5200","571","571","571","0.5038257241249084","0.5038257241249084","0.5038257241249084","571","571","571","0.30064618587493896","0.30064618587493896","0.30064618587493896"
"5300","582","582","582","0.4961478114128113","0.4961478114128113","0.4961478114128113","582","582","582","0.29548409581184387","0.29548409581184387","0.29548409581184387"
"5400","593","593","593","0.535185694694519","0.535185694694519","0.535185694694519","593","593","593","0.301907479763031","0.301907479763031","0.301907479763031"
"5500","604","604","604","0.5175410509109497","0.5175410509109497","0.5175410509109497","604","604","604","0.3096834719181061","0.3096834719181061","0.3096834719181061"
"5600","615","615","615","0.5200021862983704","0.5200021862983704","0.5200021862983704","615","615","615","0.3233215808868408","0.3233215808868408","0.3233215808868408"
"5700","626","626","626","0.5341684222221375","0.5341684222221375","0.5341684222221375","626","626","626","0.31794318556785583","0.31794318556785583","0.31794318556785583"
"5800","637","637","637","0.5535232424736023","0.5535232424736023","0.5535232424736023","637","637","637","0.31937792897224426","0.31937792897224426","0.31937792897224426"
"5900","648","648","648","0.5384599566459656","0.5384599566459656","0.5384599566459656","648","648","648","0.30639511346817017","0.30639511346817017","0.30639511346817017"
